,date,sp500_price,tbill,rpc_consumption,price
0,1955-06-13,39.6199989318847,1.0648055555555556,10148.877777777776,26.832950027735105
1,1956-11-20,44.8899993896484,2.3551111111111114,10600.499305555555,27.032757959461126
2,1958-05-02,43.6899986267089,2.84125,10690.145833333338,28.27310663935825
3,1959-10-09,57.0,2.552277777777778,10856.419444444444,29.023176649172214
4,1961-03-24,64.4199981689453,2.9983333333333335,11117.735416666666,29.609529510155316
5,1962-08-31,59.1199989318847,2.5444166666666668,11340.72013888889,30.057584575012804
6,1964-02-14,77.4800033569336,3.1087222222222217,11821.264583333335,30.622929040791945
7,1965-07-26,84.0500030517578,3.6775,12618.974999999999,31.213456401807413
8,1967-01-04,80.5500030517578,4.612111111111111,13404.337500000001,32.27125893923878
9,1968-06-14,101.129997253417,4.598277777777778,14035.748611111112,33.72177669632925
10,1970-01-02,93.0,6.275055555555555,14753.050694444442,36.30304194401775
11,1971-06-11,101.069999694824,5.629944444444445,15168.12708333333,39.301264656938045
12,1972-11-17,115.489997863769,4.2154444444444445,15905.04583333333,41.4253578255675
13,1974-05-06,91.120002746582,7.085083333333333,16723.363194444442,45.18258687489333
14,1975-10-14,89.2799987792968,6.751583333333333,16663.100694444445,52.165668330773165
15,1977-03-24,99.6999969482421,5.000166666666667,17501.826388888887,57.19563420334764
16,1978-09-05,104.489997863769,5.99388888888889,18358.497916666667,62.75331289469193
17,1980-02-19,114.599998474121,9.879194444444444,18830.427777777775,72.28129375746715
18,1981-07-28,129.139999389648,12.627694444444442,18659.552083333336,85.82271378692373
19,1983-01-07,145.179992675781,11.326805555555554,18780.045138888887,95.77664516129033
20,1984-06-15,149.029998779296,8.896305555555555,19952.45486111111,100.84294486598867
21,1985-11-27,202.539993286132,8.289611111111112,21081.60833333333,106.57821330431814
22,1987-05-08,293.369995117187,5.940027777777777,22180.441666666666,110.37135701484894
23,1988-10-14,275.5,6.154222222222222,23037.85,116.45259808223128
24,1990-03-26,337.630004882812,8.010944444444444,23790.454166666663,124.33865663935826
25,1991-08-30,395.429992675781,6.61588888888889,23903.41666666667,133.57262736815153
26,1993-02-10,446.230010986328,3.688916666666667,24219.46388888889,140.04936423186257
27,1994-07-20,451.600006103515,3.2629722222222224,25075.181944444448,145.80845165557264
28,1995-12-27,614.530029296875,5.321138888888889,25784.272222222226,151.62591545058885
29,1997-06-05,843.429992675781,5.025166666666666,26706.842361111107,157.87045749171625
30,1998-11-12,1117.68994140625,4.921027777777778,27851.939583333333,162.25126284348863
31,2000-04-20,1434.5400390625,4.813027777777778,29588.36805555556,167.37712026958232
32,2001-10-02,1051.32995605468,4.879611111111111,30844.04583333333,175.2189073860727
33,2003-03-14,833.27001953125,1.5926666666666667,31577.50694444444,180.10112525601642
34,2004-08-20,1098.34997558593,1.0212777777777777,32670.194444444445,185.96009930272322
35,2006-01-31,1280.07995605468,2.895027777777778,33863.63888888889,194.68089292114695
36,2007-07-10,1510.11999511718,4.801833333333333,34908.3125,203.38685768817206
37,2008-12-16,913.179992675781,2.2164444444444444,34916.46597222223,213.57349863747788
38,2010-05-26,1067.94995117187,0.14169444444444443,34152.28472222222,215.3865013662741
39,2011-11-01,1218.28002929687,0.09530555555555555,34588.770833333336,222.2987623924731
40,2013-04-16,1574.56994628906,0.07827777777777778,35052.86666666666,229.9725194321145
41,2014-09-22,1994.2900390625,0.041611111111111106,35694.98472222222,235.11457937233317
42,2016-03-03,1993.40002441406,0.07383333333333333,37067.68472222221,237.0633286079183
43,2017-08-09,2474.02001953125,0.52525,38267.316666666666,242.21361598430946
44,2019-01-18,2670.7099609375,1.734861111111111,39340.754166666666,250.20062295997607
45,2020-06-26,3009.05004882812,1.5565277777777775,39701.10625,256.5247924133664
